Kaynak,Zaman,Öncelik,Başlık,Orijinal Başlık,Link,Analiz
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 16:24:16 +0000",🔴 KRİTİK,Rusya’nın kıtalararası balistik füze testi başarısız oldu,Rusya’nın kıtalararası balistik füze testi başarısız oldu,https://www.savunmasanayist.com/rusyanin-kitalararasi-balistik-fuze-testi-basarisiz-oldu/,"```html
<!DOCTYPE html>
<html>
<head>
<title>Rusya Balistik Füze Testi Başarısızlığı Analizi</title>
</head>
<body>

  <h1>Rusya Balistik Füze Testi Başarısızlığı Analizi</h1>

  <h2>1. Önem Derecesi (1-10)</h2>
  <p><strong>7/10</strong> - Kıtalararası balistik füze (ICBM) testleri, nükleer caydırıcılık ve stratejik denge açısından her zaman önemlidir. Başarısızlık, Rusya'nın caydırıcılık yeteneği hakkında soru işaretleri yaratabilir ve uluslararası ilişkilerde gerginliğe yol açabilir.</p>

  <h2>2. Stratejik Özet</h2>
    <li><strong>Veri Analitiği ve Yapay Zeka:</strong> Füze test verilerinin analizi ve yapay zeka tabanlı hata tespiti, gelecekteki başarısızlıkları önlemede önemli rol oynayabilir.</li>
  </ul>

</body>
</html>
```"
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 15:20:11 +0000",Normal,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,https://www.savunmasanayist.com/ingilterenin-150-milyar-avroluk-safee-katilim-gorusmeleri-cikmazda/,
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 08:57:07 +0000",Normal,Romanya’dan 625 milyon avroluk Mistral hamlesi,Romanya’dan 625 milyon avroluk Mistral hamlesi,https://www.savunmasanayist.com/romanyadan-625-milyon-avroluk-mistral-hamlesi/,
Defence News (Global),"Fri, 28 Nov 2025 13:12:24 +0000",🔴 KRİTİK,"[ÇEVİRİ] Dutch, C-UAS deliğini kapatmak için mobil anti-drone sistemini bir araya getirecek",Dutch to cobble together mobile anti-drone system to plug C-UAS hole,https://www.defensenews.com/global/europe/2025/11/28/dutch-to-cobble-together-mobile-anti-drone-system-to-plug-c-uas-hole/,"İşte Hollanda'nın mobil anti-drone sistemini geliştirme kararının HTML formatında analizi:

```html
<p><strong>Önem Derecesi:</strong> 7/10</p>

<p><strong>Stratejik Özet:</strong></p>
<ul>
    <li>Hollanda, artan drone tehdidine karşı koymak amacıyla mobil bir anti-drone (C-UAS) sistemi geliştirme kararı almıştır.</li>
    <li>Bu karar, Hollanda'nın savunma yeteneklerini güçlendirme ve gelecekteki asimetrik tehditlere karşı hazırlıklı olma çabasının bir parçasıdır.</li>
    <li>Mobil bir C-UAS sistemi, esneklik ve hızlı konuşlandırma kabiliyeti sağlayarak farklı operasyonel senaryolarda kullanıma uygundur.</li>
    <li>Hollanda'nın bu yatırımı, diğer NATO müttefiklerini de benzer çözümler geliştirmeye teşvik edebilir.</li>
</ul>

<p><strong>Türkiye'ye Etkisi:</strong></p>
<ul>
    <li><strong>Tehdit:</strong>
        <ul>
            <li>Drone teknolojisinin yaygınlaşması ve potansiyel kötü niyetli kullanımları göz önüne alındığında, bu tür sistemlerin geliştirilmesi Türkiye'nin de dikkate alması gereken bir tehdittir.</li>
            <li>Hollanda'nın geliştireceği sistemin yetenekleri (menzil, tespit ve imha yöntemleri vb.) Türkiye'nin mevcut C-UAS yetenekleriyle karşılaştırılmalı ve gerekli görüldüğü takdirde iyileştirmeler yapılmalıdır.</li>
        </ul>
    </li>
    <li><strong>Fırsat:</strong>
        <ul>
            <li>Hollanda'nın bu projesi, Türkiye için teknoloji transferi veya ortak geliştirme fırsatları sunabilir. Özellikle, Türk savunma sanayi şirketleri Hollandalı firmalarla işbirliği yaparak C-UAS teknolojilerindeki yeteneklerini artırabilirler.</li>
            <li>Türkiye, bu gelişmeyi kendi C-UAS sistemlerinin geliştirilmesi ve iyileştirilmesi için bir motivasyon kaynağı olarak kullanabilir.</li>
            <li>Hollanda'nın sisteminden elde edilen veriler ve operasyonel deneyimler, Türkiye'nin C-UAS stratejilerini şekillendirmede faydalı olabilir.</li>
        </ul>
    </li>
</ul>

<p><strong>Mühendislik/Kariyer Tavsiyesi:</strong></p>
<ul>
    <li>C-UAS sistemleri, radar, elektro-optik sensörler, sinyal bozucu (jammer) ve kinetik imha yöntemleri gibi çeşitli teknolojileri içerir. Bu alanda uzmanlaşmak isteyen mühendisler için çok disiplinli bir yaklaşım önemlidir.</li>
    <li>Özellikle sinyal işleme, görüntü işleme, otonom sistemler ve siber güvenlik gibi alanlarda uzmanlaşmak C-UAS teknolojilerinde kariyer yapmak için faydalı olacaktır.</li>
    <li>Savunma sanayi şirketleri, araştırma kurumları ve devlet kurumları C-UAS alanında mühendisler için potansiyel işverenlerdir.</li>
    <li>Bu alanda çalışan mühendisler, sürekli olarak gelişen drone teknolojilerine ve tehditlere karşı güncel kalmalı ve yenilikçi çözümler üretmeye odaklanmalıdır.</li>
</ul>
```"
Defence News (Global),"Fri, 28 Nov 2025 12:55:11 +0000",Normal,"[ÇEVİRİ] Romanya, Karadeniz filosunu Türk yapımı devriye gemisiyle güçlendirecek",Romania to boost its Black Sea fleet with Turkish-made patrol ship,https://www.defensenews.com/global/europe/2025/11/28/romania-to-boost-its-black-sea-fleet-with-turkish-made-patrol-ship/,
Defence News (Global),"Thu, 27 Nov 2025 10:49:00 +0000",🔴 KRİTİK,"[ÇEVİRİ] Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor","Poland picks Saab’s A26 submarine design, contract eyed by year’s end",https://www.defensenews.com/global/europe/2025/11/27/poland-picks-saabs-a26-submarine-design-contract-eyed-by-years-end/,"```html
<!DOCTYPE html>
<html>
<head>
<title>Polonya A26 Denizaltı Alımı Analizi</title>
</head>
<body>

  <h1>Polonya A26 Denizaltı Alımı Analizi</h1>

  <p><strong>Haber Kaynağı:</strong> Defence News (Global)</p>
  <p><strong>Haber Başlığı:</strong> Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor</p>

  <h2>1. Önem Derecesi (1-10):</h2>
  <p><strong>8</strong> - Bölgesel güvenlik dengesi ve denizaltı teknolojisi açısından yüksek öneme sahip.</p>

  <h2>2. Stratejik Özet:</h2>
  <p>
    Polonya'nın Saab A26 denizaltılarını seçmesi, Baltık Denizi'ndeki askeri kapasitesini önemli ölçüde artıracaktır. Bu karar, Polonya'nın bölgesel güvenlik endişelerine yanıt olarak değerlendirilebilir. A26 denizaltıları, sessiz çalışma kabiliyeti, gelişmiş sensörler ve çeşitli görevler için modüler yapıya sahip olmasıyla dikkat çekiyor. Bu satın alma, Polonya'nın NATO müttefikleriyle olan iş birliğini de güçlendirecek ve bölgesel caydırıcılık kabiliyetini artıracaktır. Sözleşmenin yıl sonuna kadar tamamlanması bekleniyor, bu da sürecin hızla ilerlediğini gösteriyor.
  </p>

  <h2>3. Türkiye'ye Etkisi (Tehdit/Fırsat):</h2>
  <p>
    <strong>Tehdit:</strong>
    <ul>
      <li>
        Baltık Denizi Türkiye'nin doğrudan ilgi alanı olmasa da, bu gelişme genel olarak Avrupa'daki askeri modernizasyonun bir parçasıdır. Bu durum, Türkiye'nin de kendi denizaltı modernizasyon projelerine daha fazla önem vermesi gerekliliğini ortaya koymaktadır.
      </li>
      <li>
        Saab'ın A26 projesindeki başarısı, gelecekteki uluslararası denizaltı ihalelerinde rekabeti artırabilir.
      </li>
    </ul>

    <strong>Fırsat:</strong>
    <ul>
      <li>
        Türkiye, Saab ile olası iş birliği fırsatlarını değerlendirebilir. Saab'ın teknolojisi ve deneyimi, Türkiye'nin kendi denizaltı geliştirme projelerine katkı sağlayabilir.
      </li>
      <li>
        Polonya'nın bu tercihi, Türkiye'ye denizaltı teknolojileri ve stratejileri konusunda önemli bir vaka çalışması sunmaktadır. A26'nın yetenekleri ve Polonya'nın stratejik motivasyonları incelenerek, Türkiye kendi denizaltı ihtiyaçlarını daha iyi belirleyebilir.
      </li>
    </ul>
  </p>

  <h2>4. Mühendislik/Kariyer Tavsiyesi:</h2>
  <p>
    <ul>
      <li>
        <strong>Mühendisler:</strong> Denizaltı teknolojileri, özellikle sessiz seyrüsefer, sonar sistemleri, batarya teknolojileri ve modüler tasarım üzerine uzmanlaşmaya odaklanmalıdır. Ayrıca, uluslararası standartlar ve NATO gereksinimleri hakkında bilgi sahibi olmak önemlidir. Saab A26 tasarımının teknik detaylarını incelemek faydalı olacaktır.
      </li>
      <li>
        <strong>Savunma Stratejistleri:</strong> Denizaltıların bölgesel güç dengesine etkisi, denizaltı karşıtı harp (ASW) stratejileri ve NATO içindeki iş birliği konularında derinlemesine bilgi edinmelidir. Polonya'nın bu alımının uzun vadeli etkilerini analiz etmek ve Türkiye'nin potansiyel yanıtlarını değerlendirmek önemlidir.
      </li>
      <li>
        <strong>Kariyer:</strong> Denizaltı tasarım ve üretiminde çalışan mühendisler için Saab gibi şirketlerde staj veya iş imkanları değerlendirilmelidir. Ayrıca, denizaltı teknolojileri ve stratejileri üzerine akademik çalışmalar yapmak, kariyer gelişimine katkı sağlayacaktır.
      </li>
    </ul>
  </p>

</body>
</html>
```"
Air Force Times (USA),"Fri, 28 Nov 2025 02:41:58 +0000",Normal,[ÇEVİRİ] Afgan vatandaşının vurduğu Ulusal Muhafızlardan biri hayatını kaybetti,One National Guard member shot by Afghan national has died,https://www.airforcetimes.com/news/your-military/2025/11/28/one-national-guard-member-shot-by-afghan-national-has-died/,
Air Force Times (USA),"Thu, 27 Nov 2025 15:42:27 +0000",Normal,[ÇEVİRİ] Ulusal Muhafız saldırısında ölenlerin kimlikleri belirlendi,National Guard shooting victims identified,https://www.airforcetimes.com/news/your-military/2025/11/27/national-guard-shooting-victims-identified/,
Air Force Times (USA),"Thu, 27 Nov 2025 14:41:49 +0000",Normal,[ÇEVİRİ] 2 Ulusal Muhafız mensubunun vurulmasının ardından Afgan vatandaşı gözaltına alındı,Afghan national in custody after shooting of 2 National Guard members,https://www.airforcetimes.com/news/your-military/2025/11/27/afghan-national-in-custody-after-shooting-of-2-national-guard-members/,
Breaking Defense (Global),"Wed, 26 Nov 2025 19:28:00 +0000",Normal,"[ÇEVİRİ] Startup Spaceflux, Birleşik Krallık sivil/savunma alanı izleme çabalarında kilit rolü güvence altına alıyor",Startup Spaceflux secures key role in UK civil/defense space tracking effort,https://breakingdefense.com/2025/11/startup-spaceflux-secures-key-role-in-uk-civil-defense-space-tracking-effort/,
Breaking Defense (Global),"Wed, 26 Nov 2025 18:30:00 +0000",Normal,"[ÇEVİRİ] Polonya, geleceğin denizaltısı olarak İsveç'in Saab A26'sını seçti",Poland selects Sweden’s Saab A26 as future submarine,https://breakingdefense.com/2025/11/poland-selects-swedens-saab-a26-as-future-submarine/,
Breaking Defense (Global),"Wed, 26 Nov 2025 17:29:00 +0000",Normal,[ÇEVİRİ] Ukrayna ihtilafından muharebe tıbbı dersleri,Lessons for combat medicine from the Ukraine conflict,https://breakingdefense.com/2025/11/lessons-for-combat-medicine-from-the-ukraine-conflict/,
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 16:24:16 +0000",🔴 KRİTİK,Rusya’nın kıtalararası balistik füze testi başarısız oldu,Rusya’nın kıtalararası balistik füze testi başarısız oldu,https://www.savunmasanayist.com/rusyanin-kitalararasi-balistik-fuze-testi-basarisiz-oldu/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 15:20:11 +0000",Normal,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,https://www.savunmasanayist.com/ingilterenin-150-milyar-avroluk-safee-katilim-gorusmeleri-cikmazda/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 08:57:07 +0000",Normal,Romanya’dan 625 milyon avroluk Mistral hamlesi,Romanya’dan 625 milyon avroluk Mistral hamlesi,https://www.savunmasanayist.com/romanyadan-625-milyon-avroluk-mistral-hamlesi/
Defence News (Global),"Fri, 28 Nov 2025 13:12:24 +0000",🔴 KRİTİK,"[ÇEVİRİ] Dutch, C-UAS deliğini kapatmak için mobil anti-drone sistemini bir araya getirecek",Dutch to cobble together mobile anti-drone system to plug C-UAS hole,https://www.defensenews.com/global/europe/2025/11/28/dutch-to-cobble-together-mobile-anti-drone-system-to-plug-c-uas-hole/
Defence News (Global),"Fri, 28 Nov 2025 12:55:11 +0000",Normal,"[ÇEVİRİ] Romanya, Karadeniz filosunu Türk yapımı devriye gemisiyle güçlendirecek",Romania to boost its Black Sea fleet with Turkish-made patrol ship,https://www.defensenews.com/global/europe/2025/11/28/romania-to-boost-its-black-sea-fleet-with-turkish-made-patrol-ship/
Defence News (Global),"Thu, 27 Nov 2025 10:49:00 +0000",🔴 KRİTİK,"[ÇEVİRİ] Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor","Poland picks Saab’s A26 submarine design, contract eyed by year’s end",https://www.defensenews.com/global/europe/2025/11/27/poland-picks-saabs-a26-submarine-design-contract-eyed-by-years-end/
Air Force Times (USA),"Fri, 28 Nov 2025 02:41:58 +0000",Normal,[ÇEVİRİ] Afgan vatandaşının vurduğu Ulusal Muhafızlardan biri hayatını kaybetti,One National Guard member shot by Afghan national has died,https://www.airforcetimes.com/news/your-military/2025/11/28/one-national-guard-member-shot-by-afghan-national-has-died/
Air Force Times (USA),"Thu, 27 Nov 2025 15:42:27 +0000",Normal,[ÇEVİRİ] Ulusal Muhafız saldırısında ölenlerin kimlikleri belirlendi,National Guard shooting victims identified,https://www.airforcetimes.com/news/your-military/2025/11/27/national-guard-shooting-victims-identified/
Air Force Times (USA),"Thu, 27 Nov 2025 14:41:49 +0000",Normal,[ÇEVİRİ] 2 Ulusal Muhafız mensubunun vurulmasının ardından Afgan vatandaşı gözaltına alındı,Afghan national in custody after shooting of 2 National Guard members,https://www.airforcetimes.com/news/your-military/2025/11/27/afghan-national-in-custody-after-shooting-of-2-national-guard-members/
Breaking Defense (Global),"Wed, 26 Nov 2025 19:28:00 +0000",Normal,"[ÇEVİRİ] Startup Spaceflux, Birleşik Krallık sivil/savunma alanı izleme çabalarında kilit rolü güvence altına alıyor",Startup Spaceflux secures key role in UK civil/defense space tracking effort,https://breakingdefense.com/2025/11/startup-spaceflux-secures-key-role-in-uk-civil-defense-space-tracking-effort/
Breaking Defense (Global),"Wed, 26 Nov 2025 18:30:00 +0000",Normal,"[ÇEVİRİ] Polonya, geleceğin denizaltısı olarak İsveç'in Saab A26'sını seçti",Poland selects Sweden’s Saab A26 as future submarine,https://breakingdefense.com/2025/11/poland-selects-swedens-saab-a26-as-future-submarine/
Breaking Defense (Global),"Wed, 26 Nov 2025 17:29:00 +0000",Normal,[ÇEVİRİ] Ukrayna ihtilafından muharebe tıbbı dersleri,Lessons for combat medicine from the Ukraine conflict,https://breakingdefense.com/2025/11/lessons-for-combat-medicine-from-the-ukraine-conflict/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 16:24:16 +0000",🔴 KRİTİK,Rusya’nın kıtalararası balistik füze testi başarısız oldu,Rusya’nın kıtalararası balistik füze testi başarısız oldu,https://www.savunmasanayist.com/rusyanin-kitalararasi-balistik-fuze-testi-basarisiz-oldu/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 15:20:11 +0000",Normal,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,https://www.savunmasanayist.com/ingilterenin-150-milyar-avroluk-safee-katilim-gorusmeleri-cikmazda/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 08:57:07 +0000",Normal,Romanya’dan 625 milyon avroluk Mistral hamlesi,Romanya’dan 625 milyon avroluk Mistral hamlesi,https://www.savunmasanayist.com/romanyadan-625-milyon-avroluk-mistral-hamlesi/
Defence News (Global),"Fri, 28 Nov 2025 13:12:24 +0000",🔴 KRİTİK,"[ÇEVİRİ] Dutch, C-UAS deliğini kapatmak için mobil anti-drone sistemini bir araya getirecek",Dutch to cobble together mobile anti-drone system to plug C-UAS hole,https://www.defensenews.com/global/europe/2025/11/28/dutch-to-cobble-together-mobile-anti-drone-system-to-plug-c-uas-hole/
Defence News (Global),"Fri, 28 Nov 2025 12:55:11 +0000",Normal,"[ÇEVİRİ] Romanya, Karadeniz filosunu Türk yapımı devriye gemisiyle güçlendirecek",Romania to boost its Black Sea fleet with Turkish-made patrol ship,https://www.defensenews.com/global/europe/2025/11/28/romania-to-boost-its-black-sea-fleet-with-turkish-made-patrol-ship/
Defence News (Global),"Thu, 27 Nov 2025 10:49:00 +0000",🔴 KRİTİK,"[ÇEVİRİ] Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor","Poland picks Saab’s A26 submarine design, contract eyed by year’s end",https://www.defensenews.com/global/europe/2025/11/27/poland-picks-saabs-a26-submarine-design-contract-eyed-by-years-end/
Air Force Times (USA),"Fri, 28 Nov 2025 02:41:58 +0000",Normal,[ÇEVİRİ] Afgan vatandaşının vurduğu Ulusal Muhafızlardan biri hayatını kaybetti,One National Guard member shot by Afghan national has died,https://www.airforcetimes.com/news/your-military/2025/11/28/one-national-guard-member-shot-by-afghan-national-has-died/
Air Force Times (USA),"Thu, 27 Nov 2025 15:42:27 +0000",Normal,[ÇEVİRİ] Ulusal Muhafız saldırısında ölenlerin kimlikleri belirlendi,National Guard shooting victims identified,https://www.airforcetimes.com/news/your-military/2025/11/27/national-guard-shooting-victims-identified/
Air Force Times (USA),"Thu, 27 Nov 2025 14:41:49 +0000",Normal,[ÇEVİRİ] 2 Ulusal Muhafız mensubunun vurulmasının ardından Afgan vatandaşı gözaltına alındı,Afghan national in custody after shooting of 2 National Guard members,https://www.airforcetimes.com/news/your-military/2025/11/27/afghan-national-in-custody-after-shooting-of-2-national-guard-members/
Breaking Defense (Global),"Wed, 26 Nov 2025 19:28:00 +0000",Normal,"[ÇEVİRİ] Startup Spaceflux, Birleşik Krallık sivil/savunma alanı izleme çabalarında kilit rolü güvence altına alıyor",Startup Spaceflux secures key role in UK civil/defense space tracking effort,https://breakingdefense.com/2025/11/startup-spaceflux-secures-key-role-in-uk-civil-defense-space-tracking-effort/
Breaking Defense (Global),"Wed, 26 Nov 2025 18:30:00 +0000",Normal,"[ÇEVİRİ] Polonya, geleceğin denizaltısı olarak İsveç'in Saab A26'sını seçti",Poland selects Sweden’s Saab A26 as future submarine,https://breakingdefense.com/2025/11/poland-selects-swedens-saab-a26-as-future-submarine/
Breaking Defense (Global),"Wed, 26 Nov 2025 17:29:00 +0000",Normal,[ÇEVİRİ] Ukrayna ihtilafından muharebe tıbbı dersleri,Lessons for combat medicine from the Ukraine conflict,https://breakingdefense.com/2025/11/lessons-for-combat-medicine-from-the-ukraine-conflict/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 16:24:16 +0000",🔴 KRİTİK,Rusya’nın kıtalararası balistik füze testi başarısız oldu,Rusya’nın kıtalararası balistik füze testi başarısız oldu,https://www.savunmasanayist.com/rusyanin-kitalararasi-balistik-fuze-testi-basarisiz-oldu/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 15:20:11 +0000",Normal,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,https://www.savunmasanayist.com/ingilterenin-150-milyar-avroluk-safee-katilim-gorusmeleri-cikmazda/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 08:57:07 +0000",Normal,Romanya’dan 625 milyon avroluk Mistral hamlesi,Romanya’dan 625 milyon avroluk Mistral hamlesi,https://www.savunmasanayist.com/romanyadan-625-milyon-avroluk-mistral-hamlesi/
Defence News (Global),"Fri, 28 Nov 2025 13:12:24 +0000",🔴 KRİTİK,"[ÇEVİRİ] Dutch, C-UAS deliğini kapatmak için mobil anti-drone sistemini bir araya getirecek",Dutch to cobble together mobile anti-drone system to plug C-UAS hole,https://www.defensenews.com/global/europe/2025/11/28/dutch-to-cobble-together-mobile-anti-drone-system-to-plug-c-uas-hole/
Defence News (Global),"Fri, 28 Nov 2025 12:55:11 +0000",Normal,"[ÇEVİRİ] Romanya, Karadeniz filosunu Türk yapımı devriye gemisiyle güçlendirecek",Romania to boost its Black Sea fleet with Turkish-made patrol ship,https://www.defensenews.com/global/europe/2025/11/28/romania-to-boost-its-black-sea-fleet-with-turkish-made-patrol-ship/
Defence News (Global),"Thu, 27 Nov 2025 10:49:00 +0000",🔴 KRİTİK,"[ÇEVİRİ] Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor","Poland picks Saab’s A26 submarine design, contract eyed by year’s end",https://www.defensenews.com/global/europe/2025/11/27/poland-picks-saabs-a26-submarine-design-contract-eyed-by-years-end/
Air Force Times (USA),"Fri, 28 Nov 2025 02:41:58 +0000",Normal,[ÇEVİRİ] Afgan vatandaşının vurduğu Ulusal Muhafızlardan biri hayatını kaybetti,One National Guard member shot by Afghan national has died,https://www.airforcetimes.com/news/your-military/2025/11/28/one-national-guard-member-shot-by-afghan-national-has-died/
Air Force Times (USA),"Thu, 27 Nov 2025 15:42:27 +0000",Normal,[ÇEVİRİ] Ulusal Muhafız saldırısında ölenlerin kimlikleri belirlendi,National Guard shooting victims identified,https://www.airforcetimes.com/news/your-military/2025/11/27/national-guard-shooting-victims-identified/
Air Force Times (USA),"Thu, 27 Nov 2025 14:41:49 +0000",Normal,[ÇEVİRİ] 2 Ulusal Muhafız mensubunun vurulmasının ardından Afgan vatandaşı gözaltına alındı,Afghan national in custody after shooting of 2 National Guard members,https://www.airforcetimes.com/news/your-military/2025/11/27/afghan-national-in-custody-after-shooting-of-2-national-guard-members/
Breaking Defense (Global),"Wed, 26 Nov 2025 19:28:00 +0000",Normal,"[ÇEVİRİ] Startup Spaceflux, Birleşik Krallık sivil/savunma alanı izleme çabalarında kilit rolü güvence altına alıyor",Startup Spaceflux secures key role in UK civil/defense space tracking effort,https://breakingdefense.com/2025/11/startup-spaceflux-secures-key-role-in-uk-civil-defense-space-tracking-effort/
Breaking Defense (Global),"Wed, 26 Nov 2025 18:30:00 +0000",Normal,"[ÇEVİRİ] Polonya, geleceğin denizaltısı olarak İsveç'in Saab A26'sını seçti",Poland selects Sweden’s Saab A26 as future submarine,https://breakingdefense.com/2025/11/poland-selects-swedens-saab-a26-as-future-submarine/
Breaking Defense (Global),"Wed, 26 Nov 2025 17:29:00 +0000",Normal,[ÇEVİRİ] Ukrayna ihtilafından muharebe tıbbı dersleri,Lessons for combat medicine from the Ukraine conflict,https://breakingdefense.com/2025/11/lessons-for-combat-medicine-from-the-ukraine-conflict/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 16:24:16 +0000",🔴 KRİTİK,Rusya’nın kıtalararası balistik füze testi başarısız oldu,Rusya’nın kıtalararası balistik füze testi başarısız oldu,https://www.savunmasanayist.com/rusyanin-kitalararasi-balistik-fuze-testi-basarisiz-oldu/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 15:20:11 +0000",Normal,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,https://www.savunmasanayist.com/ingilterenin-150-milyar-avroluk-safee-katilim-gorusmeleri-cikmazda/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 08:57:07 +0000",Normal,Romanya’dan 625 milyon avroluk Mistral hamlesi,Romanya’dan 625 milyon avroluk Mistral hamlesi,https://www.savunmasanayist.com/romanyadan-625-milyon-avroluk-mistral-hamlesi/
